Key,English
dkGSKElctrnTeleportToHomeAndBack,"Low cost teleportation to last LandClaims(HOME, see Notes*workaround7) or BedRoll.\nUsable only out of combat (NearbyEnemies:{cvar(.iGSKNearbyFoeAliveCount30m:0)}), not during blood moons and only if all your NPC followers are not in warparty mode.\nRequires the Teleport Mod to be installed and will dmg it less, will consume less battery and will be activated after a few seconds it begins, but at most til the timeout ends. Cannot be used while an angry DeusExMachina is nearby or during bloodmoons, and will have side effects.\nObs.: use only if the required item (bedroll and landclaim) is placed as energy consumption, mod condition dmg and side effects can't be avoided.\nObs.: Use the BedRoll like a marker to come back from the LandClaim.\n PRIMARY: activates the teleport to {cvar(iGSKLowCostTeleportTarget:0)} (0=LandClaim 1=BedRoll only if you are using the ToHomeAndBack item, the other items will force to go to LandClaim OR Bedroll only)\n SECONDARY: cancels the delayed teleport countdown:{cvar(.iGSKTeleLowCostCountDown:0)}s\nPS.: be sure to place the landclaim and the bedroll in a place that can be destroyed by the teleport explosion, and you will have to place them back everytime you teleport to them. Also, teleport from a place that can be destroyed, just in case the teleport fails. And use some healing and protective items or essences just BEFORE teleporting."

dkGSKCFGiGSKDeusExDeathExplosionAlt,"enable this if you would like to let it create a kind of crater near where DeusExMachina dies, but... it will probably be very slow and laggy even on fast machines, it has a total of 8 huge explosions, it is better fight with DeusExMachina far away from buildings and from your followers.\n iGSKDeusExDeathExplosionAlt {cvar(iGSKDeusExDeathExplosionAlt:0)}"

dkGSKDeusExMachinaFriendlyAllowSpawn,"Configure if DeusExMachina friendly should or not be spawned.\n PRIMARY allow\n SECONDARY deny.\nIf DeusExMachina is already your foe, it won't prevent them from spawning tho. In this case only after it defeats you (and become friendly again), this configurator will work."

dkGSKspawnDeusExReward,"DeusExRewardOpenCount:{cvar(iGSKDeusExRewardOpenCount:0)} is limited to DeusExKillCount:{cvar(iGSKDeusExKillCount:0)}, will spawn a few mech bees also."

dkGSKDeusExMachinaFriendlySlowDown,"Use this after you shoot a friendly DeusExMachina (that will begin following you fast) to slow it down again, to let you have some chance to move away if you need it to stop causing trouble. Tho, this will also stop their help like healing the player and followers."

dkGSKStatBlockages,"[HealthMaxBlockage]\nfGSKStarvingHPBlockage:{cvar(fGSKStarvingHPBlockage:0.00)}, $abrasionHealthMaxBlockage:{cvar($abrasionHealthMaxBlockage:0.00)}, $buffStatusRadiation:{cvar($buffStatusRadiation:0.00)}, .ArmHurtHealthBlockage:{cvar(.ArmHurtHealthBlockage:0.00)}, .ConcussionHealthBlockage:{cvar(.ConcussionHealthBlockage:0.00)}, fGSKCosmicRadMessDNA:{cvar(fGSKCosmicRadMessDNA:0.00)}, fGSKOverhydratedHPBlockage:{cvar(fGSKOverhydratedHPBlockage:0.00)}, fGSKRadiationMessDNA:{cvar(fGSKRadiationMessDNA:0.00)}, iGSKHitpointsBlockageChemUseShow:{cvar(iGSKHitpointsBlockageChemUseShow:0.00)}, .lacerationHealthBlockage:{cvar(.lacerationHealthBlockage:0.00)}, .LegHurtHealthBlockage:{cvar(.LegHurtHealthBlockage:0.00)}, .WeakenedHealthBlockage:{cvar(.WeakenedHealthBlockage:0.00)}, \n\n[StaminaMaxBlockage]\n$buffStatusHungryBlockage:{cvar($buffStatusHungryBlockage:0.00)}, $buffStatusRadiation:{cvar($buffStatusRadiation:0.00)}, $buffStatusThirstyBlockage:{cvar($buffStatusThirstyBlockage:0.00)}, .fGSKFatStaminaBlockageLimited:{cvar(.fGSKFatStaminaBlockageLimited:0.00)}, fHWBlockageStam:{cvar(fHWBlockageStam:0.00)}, \n\n"

dkbuffGSKJumpPad,"Look upwards to grant there is nothing above. Place it, step over and quickly jump (and hold jump button). Be sure to have some water equipped also.\n PhysTrick: the weaker one and a ramp above may throw you about 30m in-front."

dkGSKPOIRwdUndTeleBiome,"costs 5, you have ExploreUndergroundPOIsCredit:{cvar(iGSKExplrUndPOIcredit:0)}"
dkGSKPOIRwdUndTeleToSky,"costs 10, you have ExploreUndergroundPOIsCredit:{cvar(iGSKExplrUndPOIcredit:0)}"
dkGSKPOIRwdUndTeleUnderground,"costs 15, you have ExploreUndergroundPOIsCredit:{cvar(iGSKExplrUndPOIcredit:0)}"

potionRespec,"[TNM] Rebirth Elixir"
dkbuffGSKRespec,"This is a dangerous elixir. You will be refreshed, reborn into a new being.\nBe sure to be in a safe combat place, and get ready to heal yourself and recover from many near death conditions.\n CurrentDanger: {cvar(iGSKRespecDanger:0.00)}%\nObs.: this will not reset negative effects nor DNA improvements from monster's essences."

dkGSKPOIProgressInc,"This is a exploration reward, the more you explore the more you get this. It is limited by the total existing POIs. Be careful while collecting them.\nCurrently you have ExplorationCredits:{cvar(iGSKexplorationCredits:0)}, ExplorePOIsCount:{cvar(iGSKexplorationProgressPOIcount:0)}, ExploreUndergroundPOIsCredit:{cvar(iGSKExplrUndPOIcredit:0)}"
dkGSKPOIProgressCfgStat,"You learned how to improve yourself while exploring the world.\n UsedPoints(CFGv1): {cvar(iGSKPOIExplorationPointsUsed:0)} / MaxPoints(CFGv2): {cvar(iGSKexplorationProgressPOIcount:0)}\n Standing:PRIMARY:BonusHealthMax: {cvar(iGSKPOIExBonusHP:0)}\n Standing:SECONDARY:BonusStaminaMax: {cvar(iGSKPOIExBonusStamina:0)}\n Crouching:SECONDARY:BonusJumpStrength: {cvar(iGSKPOIExBonusJumpStr:0.00)}%\n Crouching:PRIMARY:BonusRunSpeed: {cvar(iGSKPOIExBonusRunSpeed:0.00)}%\nObs.: These can be reset with the Rebirth Elixir."
dkGSKDeusExProgressCfgStat,"You learned how to improve yourself while anihilating DeusExMachinas.\n UsedPoints(CFGv1): {cvar(iGSKDeusExProgressUsed:0)} / MaxPoints(CFGv2): {cvar(iGSKDeusExKillCount:0)}\n Standing:PRIMARY:BonusHealthMax: {cvar(iGSKDeusExBonusHP:0)}\n Standing:SECONDARY:BonusStaminaMax: {cvar(iGSKDeusExBonusStamina:0)}\n Crouching:SECONDARY:BonusJumpStrength: {cvar(iGSKDeusExBonusJumpStr:0.00)}%\n Crouching:PRIMARY:BonusRunSpeed: {cvar(iGSKDeusExBonusRunSpeed:0.00)}%\nObs.: These can be reset with the Rebirth Elixir."

dkTraderProtection,"Staying near a trader safe zone has a cost. Not paying will get you damaged (the more at night, the most during blood moon). You will need cash to craft the required payment activator.\n You paid for this protection: {cvar(fGSKTraderPaidProtection:0.00)} (current cost: {cvar(.fGSKTraderProtSub:0.00)})\n Obs.: it is about HP but also about time, the more dangerous, the faster it will deplet."

dkRepairNPCArmor,"You need to have only one NPC following you to use this. It will repair a bit of the NPC armor after the NPC receives the next hit. There is permanent NPC armor tho that cannot be fixed, so if it is too high it is better to hire a new one."

dkGSKgunRepairParts,"These are specific cleaning, repair parts, and tools for each gun. When a gun part is used to create this, think as a gun part that is being replaced."

dkNPCCfgAllInOne,"All NPC toggle cfgs are here, you need to be careful tho.\n [Standing:PRIMARY] Mode FullControl/Hunting 60m\n [Standing:SECONDARY] Attack Stop/Resume 60m\n [Crouched:PRIMARY] CallHelpNearby 20m\n [Crouched:SECONDARY] Stay/Follow 6m (TODO:WIP:isn't updating target location)"

dkGSKNoteResurrectTips,"Every resurrection you can craft a special teleport free bundle: GSKTeleportHelpersBundle.\nIt contains the teleport to backpack free item that will work only BEFORE you die again, so it may be a good idea to stay ready to use it as soon you need. You will be protected against all damage for a few seconds, what will help you getting your backpack and fleeing to some safe spot, so focus on doing that to not die again near where you died before."

dkGSKteleToBackpackFree,"After resurrecting, this is meant to quickly place you back where you stopped BEFORE you die again.\nObs.: Remember that only the last backpack will work with this, so if you die again before using this teleporter, the game engine will create a new backpack reference that will become the new target for this teleporter. Or if your inventory was empty, it will not create a dropped backpack and the last backpack referency will just be overwritten with a void value, so when using this teleporter nothing will happen. So the previous backpack will be ignored even if you use this a second time, it is not a list of backpacks, just a single reference. Well if I guessed it all correctly.."

dkGSKCFGDbgListChooseIndex," .fGSKDbgGasMaskWork:{cvar(.fGSKDbgGasMaskWork:0)}\n .iGSKDbgNpcInfo:{cvar(.iGSKDbgNpcInfo:0)}\n"

dkbuffGSKCosmicBloodMoon,"In Blood Moons, cosmic rays empowers you into a predator (not immune tho) for {cvar(.iGSKCosmicBloodMoonRageTmTot:0)}s, but only if you are using a melee weapon.\n It also heals a bit your damaged DNA: {cvar(fGSKCosmicRadMessDNA:0.00)}, but also removes a bit of the accumulated essences effects."

dkvehicleNPCHelper,"This is a WORKAROUND. Mounting and leaving a vehicle will place the NPC near you. NPCs may have difficulty to follow the player to some places, they may also just jump to death from very high places. Sometimes, a NPCs may move away very fast and wont come back. Before it becomes impossible to bring them back, place this vehicle near the place you are defending and use it everytime the NPC is in trouble. This is not really usable as a vehicle. This can be crafted for free too."

dkbuffGSKSpiderNet,"You are stuck in a spider web. Jump or equip a melee weapon then crouch and stand up to try to break free faster."

NOTE_LostTribe,"[NoMad] My Tribe"
dkLostTribe,"That new guy.. I knew there was something wrong with him.. betrayed us.. I almost didn't escape alive..\n My family, my friends.. everyone is gone..\n I will never forget Nickole, Taylor, Stephan, Jennifer, Claude, Sarah and Raphael.. R.I.P.\n But I managed to bring with me some good stuff.\n I know also these treasures were buried in difficult places, better not go there unprepared. It is also advised to not do this at night time (ETC*6).\nThose bandits.. they can't imagine what is comming for them!!\n PS.: Remember to visit (open this note), going there won't be of much help but is better than nothing.."

dkmodCosmicRayShield,"This will highly increase your chances to avoid a cosmic ray beam.\n CosmicRadiationMessDNA: {cvar(fGSKCosmicRadMessDNA:0.00)}"
dkbuffGSKCosmicRayStrike,"A Cosmic Ray may have hit you (if you are not using the Cosmic Ray Shield helmet mod).\nWhile this buff is active, you are protected against another Cosmic Ray Beam.\n CosmicRadiationMessDNA: {cvar(fGSKCosmicRadMessDNA:0.00)}"

dkGSKCosmicRayBeamDigger,"Use cosmic rays to dig down.\n [PRIMARY] activate\n [SECONDARY] deactivate\n Tho, cosmic radiation will still harm you, be careful.\n CosmicRayDigger={cvar(iGSKNPCcosmicRayDigger:0)}\n CosmicRadiationMessDNA: {cvar(fGSKCosmicRadMessDNA:0.00)}"

dkGSKCFGNPCproperSneakingWorkaround,"This workaround will let you move at night with a NPC follower while sneaking. The follower will ragdoll foes, and then they will become imune to damage for some time. This only work in the wilderness (not sheltered), at night and while sneaking, not in bloodmoon, and if the follower is nearby 10m.\n [Standing:PRIMARY] enable=2, [Standing:SECONDARY] disable=1\n iGSKNPCproperSneakingWorkaroundAllowed(CFGv1)={cvar(iGSKNPCproperSneakingWorkaroundAllowed:0)}\nPlayer Attacks disables NPC sneaking for some time ({cvar(iGSKPlayerAttackedDisableNPCSneakTime:0)}).\n Be careful, it is meant to go sneaking, so if you try to fight it may quickly become chaotic.\n This second option will put the NPCs following the player in FullControl/Stop when the player sneaks, and in Hunting/Resume when the player stand up.\n [Crouched:PRIMARY] enable=11 (only at night=12), [Crouched:SECONDARY] disable=10\n iGSKNPCSneakBehaveLikePlayer(CFGv2)={cvar(iGSKNPCSneakBehaveLikePlayer:0)}"

_old_dkGSKCFGUndergroundPOIFinder,"This will configure to above wich underground POI you will be teleported with the GSKTeleUndergroundPOI activator.\n[PRIMARY] inc index\n[SECONDARY] dec index\n iGSKUndergroundCurrentIndex={cvar(iGSKUndergroundCurrentIndex:0)}\n Obs.: Underground POIs have a hint: some prefab that is weirdly placed apparently nowhere coherent on the ground above, keep a watch for them."
dkGSKCFGUndergroundPOIFinder,"This will configure to above wich underground POI you will be teleported with the GSKTeleUndergroundPOI activator.\n[PRIMARY] inc index\n[SECONDARY] dec index\n iGSKUndergroundCurrentIndex={cvar(iGSKUndergroundCurrentIndex:0)}\n Obs.: Underground POIs have a black smoke hint."

dkbuffGSKSpawnTreasure,"Did you open the treasure in a safe location?\nAnyway, watch out for raiders, they are hunting you now!\n NextWaveSpawnRaidersChance:{cvar(iGSKSpawnRaidersChancePerc:0)}%, NextWaveTimeout:{cvar(iGSKSpawnTreasureTmOut:0)}\n  LastWaveDifficulty:{cvar(iGSKSpawnBanditCount:0)}, SpawnedLastWave:{cvar(iGSKAmbushersSpawnedLastWave:0)}\n  The chance lowers as time passes and they spread away trying to find you. The next wave will happen after that timeout. Sneaking will increase the timeout limit giving you more time to think between waves.\n Obs.: They won't hunt you during blood moon (the timer countdown will stop), neither for a long time after you dig a treasure location.\n Ps.: if the spawned count is less than difficulty, it will take much longer to end that wave, to prevent that stay in an open area, dont hide too much."

dkblkGSKburiedTreasure,"This quest is not failed yet...\nJust unlock this treasure (craft this into an unlocked treasure box).\nOpting to use more lockpicks will let it unlock faster (as you will be careless while using them, many will break).\nAnd be careful where you will open it, bandits are looking for it too!"
dkGSKspawnGuardedTreasure,"This is the buried treasure.\nOpen it (but be sure that all blocks around you are empty) and a bag will drop on the ground near you.\nBeware as raiders are looking for it too!\nObs.: You can only open the next one after raiders stop hunting you and (See ETC*11) if you are not sheltered. Raiders will only show up if you are not sheltered. Being sheltered will also hold the wave timeout."

dkbuffGSKEquippedPoisonedAmmo,"Your equipped weapon is using poisoned ammunition that will also prevent some enemies powers from working."

dkbuffGSKBeastFangsHoldup,"Some beast byte you and is holding your leg, you wont be able to move well for a few seconds. Beware also, these beasts may push and knock you down, better keep your distance."

dkGSKReplaceElctrnMods,"This only works if damage is very high (almost or broken) to prevent losing the replacement. You can still convert this into a normal mod and then into repair parts if you prefer tho."

GSKspawnDogCompanion,"Call my trusty dog companion"
dkGSKspawnDogCompanion,"Your trusty companion is nearby, just call it and be sure to give it a snack!\n But remember, unfortunately if things become too chaotic, trying to save it may get you killed too.\n Sneaking with it at night may be a good idea tho."

NOTE_GSKFreeBundleExpLossInfo,"[NoMad]ExpLossDynamicInfo"
NOTE_buffGSKBeastFangsHoldup,"[NoMad]Buff:BeastFangsHoldup"

NOTE_buffGSKPermanentGenericCheck,"[NoMad]Buff:PermanentEffects"
nkbuffGSKPermanentGenericCheck,"[NoMad] Permanent Effects"
dkbuffGSKPermanentGenericCheck,"This is a generic buff that permanently checks stats, fixes values, apply buffs and keep some effects active:\n Fat:{cvar(fGSKFatStaminaBlockage:0.00)} FatStaminaBlockage:{cvar(.fGSKFatStaminaBlockageLimited:0.00)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n "

dkbuffGSKNearDeathChemUse,"You have used too many chems. Eat healthy foods, use healing items or use the health treatment.\n HitpointsBlockageChemUse: {cvar(iGSKHitpointsBlockageChemUseShow:0)}\n ChemUseNearDeathLvl: {cvar(iGSKNearDeathChemUse:0.0)}\n BadAbove: {cvar(.fGSKHPBlkChemUseMinx100:0)}\n CriticalAbove: {cvar(.fGSKHPBlkChemUseMaxx100:0)}.\nObs.: it may stun you, more on higher ND levels."
dkbuffGSKNearDeathBloated,"You have eat too much. Exercise! but if it is still too dangerous use the vomit activator.\n BloatedNearDeathLvl: {cvar(iGSKNearDeathBloated:0.0)}\n Fat:{cvar(fGSKFatStaminaBlockage:0.00)} FatStaminaBlockage:{cvar(.fGSKFatStaminaBlockageLimited:0.00)}\n ConsumingExtraFood: {cvar($foodAmountAdd:0.00)}/{cvar($foodOverEatAmount:0)}\nObs.: Consuming beyond the limit causes problems (15 per lvl), but you can also use it to increase fat to help against starvation later.\nObs.: it may stun you, more on higher ND levels."
dkbuffGSKNearDeathOverhydrated,"Too much water is very dangerous! Use items that lower your water level or if it is too dangerous use the vomit activator.\n OverhydratedNearDeathLvl: {cvar(iGSKNearDeathOverhydrated:0.0)}\n ConsumingExtraWater: {cvar($waterAmountAdd:0.00)}/{cvar($waterOverEatAmount:0)}\n HPBlockage:{cvar(fGSKOverhydratedHPBlockage:0)}\n Obs.: Consuming beyond the limit causes problems (15 per lvl).\nObs.: it may stun you, more on higher ND levels."

dkGSKDbgTestElctrnMaxAll,"this will max all Elctrn mods AND set 65535 to battery energy"

dkbuffGSKGodModeFirstSpawn,"Only for your first spawn and a few othe special cases.\nThis exists just in case you spawn over a mob, you have some time to defeat it with your bare hands.\nOr to protect you from collapsing structures etc."

dkbuffGSKGodMode,"[PRIMARY] add, [SECONDARY] remove\ncrouched will add/rm also the vanilla god buff"

dkGSKNPCHelperVehicleBicyclePlaceable,"workaround: this is only to bring back a follower NPC that is moving away very fast bug. just place and mount on it to fix the npc. the moment you mount the npc is placed near you"

dkdrugGSKHealthTreatment,"Slowly restores you to a healthy condition.\n HitpointsBlockageByChemUsePerc: {cvar(fGSKHitpointsBlockageChemUse:0.00)}\n BadAbove: {cvar(.fGSKHPBlkChemUseMinx100:0)}\n CriticalAbove: {cvar(.fGSKHPBlkChemUseMaxx100:0)}\n Info: completely removes your hitpoint blockage."

_bkp_dkGSKElctrnTeleportToSpecial," [PRIMARY] standing -> beacon\n [PRIMARY] crouched -> backpack\n [SECONDARY] standing -> Bedroll\n [SECONDARY] crouched -> Landclaim\n\n Obs.: you wont teleport if these markers are not available/placed, but the energy will still be spent. And the teleportation is destructive, so place a new bedroll or landclaim just after! And place them safely (put some blocks below them first)."
dkGSKElctrnTeleportToSpecial," [PRIMARY] standing -> backpack\n [PRIMARY] crouched -> Bedroll\n [SECONDARY] crouched -> Landclaim\n\n Obs.: you wont teleport if these markers are not available/placed, but the energy will still be spent. And the teleportation is destructive, so place a new bedroll or landclaim just after!"

dkGSKElctrnSlowFall,"activate it and jump just before the counter reaches {cvar(.fGSKCfgFallProtTmMin:0.0)}s"

dkbuffGSKBkpWaterVal,"This is restoring your water 'backup progress' to the value before you died: {cvar(fGSKWaterPercBkp:0.00)}/1.00"

dkbuffGSKElctrnHero,"Obs.: bloodmoon inteference wont allow run speed to be increased."

dkGSKCFGElctrnTeleportDistIndex,"Standing:(the cfg values are on HUD)\n [PRIMARY] action increment\n [SECONDARY] action decrement\n  Teleport Distance Index: {cvar(iGSKElctrnTeleportDistIndex:0)}\n  Max distance index (mod lvl)(CFGv1): {cvar(iGSKEnergyLvlTP:0)}+1\nThe distance index is multiplied by the base distance ({cvar(iGSKElctrnTeleportBaseDist:0)}).\nCrouched:\n [PRIMARY] action toggle UP\n [SECONDARY] action toggle DOWN\n  Teleport Diagonal UP(1)/DOWN(-1)(CFGv2): {cvar(iGSKElctrnTeleportMixUpDown:0)}\nObs.: Beware tho, if you are teleporting down and your elevation is too low, you may fall outside the world and will be teleported to the ground above."

dkGSKCFGElctrnTeleChangeSpawnIndex,"Standing:[PRIMARY] action increment 10\nStanding:[SECONDARY] action decrement 10\nCrouching:[PRIMARY] action increment 1\nCrouching:[SECONDARY] action decrement 1\nCurrentIndex(CFGv1): {cvar(iGSKTeleportedToSpawnPointIndex:0)}\nBiomeId(CFGv2):{cvar(iGSKTeleportedToSpawnPointBiomeId:0)}"

dkGSKCFGElctrnTeleportToSkyDistIndex,"Teleport to Sky:\n [PRIMARY] action increment\n [SECONDARY] action decrement\n  Teleport Distance Index (CFGv1): {cvar(iGSKElctrnTeleSkyDistIndex:0)}\n  Max distance index (mod lvl): {cvar(iGSKEnergyLvlTP:0)}+1 (CFGv2:{cvar(.iGSKElctrnTeleSkyDistIndexMax:0)})\nThe distance index is multiplied by the base distance ({cvar(.iGSKElctrnTeleportBaseToSkyDist:0)}) to calc the final distance."

dkGSKfireFuel,"Use this to keep your torch lit."
dkNVBatteryChargePost,"Place 2 of these, wire and step between, to charge your Elctrn battery mod. This is much more efficient than crafting NV batteries on the field, on the workbench or on the chemestry station."
